sep=,
"loc_index","api_name","canonical_id","hidden","english_name","english_description","german_name","german_description","french_name","french_description","italian_name","italian_description","spanish_name","spanish_description","schinese_name","schinese_description","russian_name","russian_description","brazilian_name","brazilian_description","japanese_name","japanese_description","polish_name","polish_description"
"10","ACH_BASIC_1_BUILDER","basic-1-builder","no","Construct Buildings","Own at least 5 buildings.","Gebäude errichten","Besitze mindestens 5 Gebäude.","Construire des bâtiments","Possédez au moins 5 bâtiments.","Costruisci Edifici","Possiedi almeno 5 edifici.","Construir edificios","Posee al menos 5 edificios.","建造建筑","拥有至少5座建筑。","Строить здания","Владейте как минимум 5 зданиями.","Construir Edifícios","Possua pelo menos 5 construções.","建物を建てる","建物を5棟以上所有する。","Wznoszenie budynków","Posiadaj co najmniej 5 budynków."
"11","ACH_BASIC_1_COMMUNITYBUILDER","basic-1-communityBuilder","no","Build Community","Reach a population of 10.","Gemeinschaft aufbauen","Erreiche eine Bevölkerung von 10.","Bâtir une communauté","Atteignez une population de 10.","Costruisci una Comunità","Raggiungi una popolazione di 10.","Construir comunidad","Alcanza una población de 10.","建设社群","人口达到10。","Строить общину","Достигните населения 10.","Construir Comunidade","Alcance uma população de 10.","共同体を築く","人口を10にする。","Buduj społeczność","Osiągnij populację 10."
"12","ACH_BUILDING_0_0","building-0-0","no","Basic Shelter","Build 10 Wooden Huts.","Einfache Unterkunft","Baue 10 Holzhütten.","Abri simple","Construisez 10 huttes de bois.","Riparo Basilare","Costruisci 10 Capanne di Legno.","Refugio básico","Construye 10 chozas de madera.","简易庇护所","建造10座木屋。","Простое убежище","Постройте 10 деревянных хижин.","Abrigo Básico","Construa 10 Casebres de Madeira.","簡素な住居","木の小屋を10棟建てる。","Proste schronienie","Zbuduj 10 drewnianych chat."
"13","ACH_BUILDING_0_1","building-0-1","no","Sturdy Shelter","Build 10 Stone Huts.","Stabile Unterkunft","Baue 10 Steinhütten.","Abri solide","Construisez 10 huttes de pierre.","Riparo Robusto","Costruisci 10 Capanne di Pietra.","Refugio resistente","Construye 10 chozas de piedra.","坚固庇护所","建造10座石屋。","Крепкое убежище","Постройте 10 каменных хижин.","Abrigo Resistente","Construa 10 Cabanas de Pedra.","堅牢な住居","石の小屋を10棟建てる。","Solidne schronienie","Zbuduj 10 kamiennych chat."
"14","ACH_BUILDING_0_2","building-0-2","no","Nordic Shelter","Build 5 Longhouses.","Nordische Unterkunft","Baue 5 Langhäuser.","Abri nordique","Construisez 5 maisons longues.","Riparo Nordico","Costruisci 5 Case Lunghe.","Refugio nórdico","Construye 5 casas comunales.","北境庇护所","建造5座长屋。","Северное убежище","Постройте 5 длинных домов.","Abrigo Nórdico","Construa 5 Casas Compridas.","北境の住居","長屋を5棟建てる。","Nordyckie schronienie","Zbuduj 5 długich domów."
"15","ACH_BUILDING_0_3","building-0-3","no","Nomadic Shelter","Build 5 Fur Tents.","Nomadenunterkunft","Baue 5 Fellzelte.","Abri nomade","Construisez 5 tentes de fourrure.","Riparo Nomade","Costruisci 5 Tende di Pelliccia.","Refugio nómada","Construye 5 tiendas de pieles.","游牧庇护所","建造5顶毛皮帐篷。","Кочевое убежище","Постройте 5 меховых шатров.","Abrigo Nômade","Construa 5 Tendas de Pele.","遊牧の住居","毛皮のテントを5張り建てる。","Koczownicze schronienie","Zbuduj 5 futrzanych namiotów."
"16","ACH_BUILDING_1_0","building-1-0","no","Huntsmen","Build Hunter Cabin and all upgrades.","Jäger","Baue die Jägerhütte und alle Ausbauten.","Chasseurs","Construisez la cabane de chasse et toutes les améliorations.","Cacciatori","Costruisci la Capanna di Caccia e tutti i potenziamenti.","Cazadores","Construye la cabaña de caza y todas las mejoras.","猎户","建造猎人小屋及其全部升级。","Ловчие","Постройте охотничью хижину и все улучшения.","Caçadores","Construa a Cabana de Caça e todas as melhorias.","猟師たち","猟師小屋とその強化をすべて建てる。","Myśliwi","Zbuduj Chatę myśliwego i wszystkie ulepszenia."
"17","ACH_BUILDING_1_1","building-1-1","no","Forgers","Build Blacksmith and all upgrades.","Schmiede","Baue die Schmiede und alle Ausbauten.","Forgerons","Construisez la forge et toutes les améliorations.","Forgiatori","Costruisci il Fabbro e tutti i potenziamenti.","Forjadores","Construye la herrería y todas las mejoras.","锻造工","建造铁匠铺及其全部升级。","Кузнецы","Постройте кузницу и все улучшения.","Forjadores","Construa o Ferreiro e todas as melhorias.","鍛冶師たち","鍛冶場とその強化をすべて建てる。","Kowale","Zbuduj Kuźnię i wszystkie ulepszenia."
"18","ACH_BUILDING_1_2","building-1-2","no","Smelters","Build Foundry and all upgrades.","Schmelzer","Baue die Gießerei und alle Ausbauten.","Fondeurs","Construisez la fonderie et toutes les améliorations.","Fonditori","Costruisci la Fonderia e tutti i potenziamenti.","Fundidores","Construye la fundición y todas las mejoras.","冶炼工","建造铸造厂及其全部升级。","Плавильщики","Постройте литейную и все улучшения.","Fundidores","Construa a Fundição e todas as melhorias.","鋳造師たち","鋳造所とその強化をすべて建てる。","Hutnicy","Zbuduj Odlewnię i wszystkie ulepszenia."
"19","ACH_BUILDING_1_3","building-1-3","no","Hideworkers","Build Tannery and all upgrades.","Gerber","Baue die Gerberei und alle Ausbauten.","Tanneurs","Construisez la tannerie et toutes les améliorations.","Conciatori di Pelli","Costruisci la Conceria e tutti i potenziamenti.","Curtidores","Construye la curtiduría y todas las mejoras.","皮匠","建造制革坊及其全部升级。","Кожевники","Постройте дубильню и все улучшения.","Curtidores","Construa o Curtume e todas as melhorias.","皮職人たち","皮なめし場とその強化をすべて建てる。","Garbarze","Zbuduj Garbarnię i wszystkie ulepszenia."
"20","ACH_BUILDING_2_0","building-2-0","no","Miners","Build Shallow Pit and all upgrades.","Bergleute","Baue die Flache Grube und alle Ausbauten.","Mineurs","Construisez la fosse peu profonde et toutes les améliorations.","Minatori","Costruisci il Pozzo Superficiale e tutti i potenziamenti.","Mineros","Construye el pozo superficial y todas las mejoras.","矿工","建造浅矿坑及其全部升级。","Шахтеры","Постройте мелкую яму и все улучшения.","Mineradores","Construa o Poço Raso e todas as melhorias.","鉱夫たち","浅坑とその強化をすべて建てる。","Górnicy","Zbuduj Płytką jamę i wszystkie ulepszenia."
"21","ACH_BUILDING_3_0","building-3-0","no","Traders","Build Trade Post and all upgrades.","Händler","Baue den Handelsposten und alle Ausbauten.","Marchands","Construisez le comptoir commercial et toutes les améliorations.","Mercanti","Costruisci l'Avamposto Commerciale e tutti i potenziamenti.","Comerciantes","Construye el puesto comercial y todas las mejoras.","商贩","建造贸易站及其全部升级。","Торговцы","Постройте торговую заставу и все улучшения.","Mercadores","Construa o Posto de Comércio e todas as melhorias.","商人たち","交易所とその強化をすべて建てる。","Handlarze","Zbuduj Faktorię i wszystkie ulepszenia."
"22","ACH_BUILDING_3_1","building-3-1","no","Provisioners","Build Supply Hut and all upgrades.","Versorger","Baue die Vorratshütte und alle Ausbauten.","Pourvoyeurs","Construisez la hutte de ravitaillement et toutes les améliorations.","Approvvigionatori","Costruisci la Capanna delle Scorte e tutti i potenziamenti.","Proveedores","Construye la choza de suministros y todas las mejoras.","补给员","建造补给小屋及其全部升级。","Снабженцы","Постройте хижину припасов и все улучшения.","Abastecedores","Construa a Cabana de Suprimentos e todas as melhorias.","物資係","物資小屋とその強化をすべて建てる。","Zaopatrzeniowcy","Zbuduj Chatę zapasów i wszystkie ulepszenia."
"23","ACH_BUILDING_3_2","building-3-2","no","Scholars","Build Clerk's Hut and all upgrades.","Gelehrte","Baue die Schreiberhütte und alle Ausbauten.","Érudits","Construisez la hutte des commis et toutes les améliorations.","Studiosi","Costruisci la Capanna dello Scrivano e tutti i potenziamenti.","Eruditos","Construye la choza de escribientes y todas las mejoras.","学者","建造书记员小屋及其全部升级。","Ученые","Постройте хижину писаря и все улучшения.","Estudiosos","Construa a Cabana do Escriturário e todas as melhorias.","学者たち","書記の小屋とその強化をすべて建てる。","Uczeni","Zbuduj Chatę skryby i wszystkie ulepszenia."
"24","ACH_BUILDING_3_3","building-3-3","no","Priests","Build Altar and all upgrades.","Priester","Baue den Altar und alle Ausbauten.","Prêtres","Construisez l'autel et toutes les améliorations.","Sacerdoti","Costruisci l'Altare e tutti i potenziamenti.","Sacerdotes","Construye el altar y todas las mejoras.","祭司","建造祭坛及其全部升级。","Жрецы","Постройте алтарь и все улучшения.","Sacerdotes","Construa o Altar e todas as melhorias.","祭司たち","祭壇とその強化をすべて建てる。","Kapłani","Zbuduj Ołtarz i wszystkie ulepszenia."
"25","ACH_BUILDING_4_0","building-4-0","no","Keep Walls","Build Palisades and all upgrades.","Burgmauern","Baue die Palisaden und alle Ausbauten.","Murs du fort","Construisez les palissades et toutes les améliorations.","Mura del Mastio","Costruisci le Palizzate e tutti i potenziamenti.","Murallas del bastión","Construye las empalizadas y todas las mejoras.","主堡城墙","建造木栅墙及其全部升级。","Крепостные стены","Постройте частокол и все улучшения.","Muralhas","Construa as Paliçadas e todas as melhorias.","城塞の壁","柵壁とその強化をすべて建てる。","Mury grodu","Zbuduj Palisady i wszystkie ulepszenia."
"26","ACH_BUILDING_4_1","building-4-1","no","Lookout","Build Watchtower and all upgrades.","Ausguck","Baue den Wachturm und alle Ausbauten.","Poste de guet","Construisez la tour de guet et toutes les améliorations.","Posto di Vedetta","Costruisci la Torre di Guardia e tutti i potenziamenti.","Vigía","Construye la torre de vigilancia y todas las mejoras.","瞭望哨","建造瞭望塔及其全部升级。","Дозор","Постройте дозорную башню и все улучшения.","Vigia","Construa a Torre de Vigia e todas as melhorias.","物見","見張り塔とその強化をすべて建てる。","Strażnica","Zbuduj Strażnicę i wszystkie ulepszenia."
"27","ACH_ITEM_0_AXES","item-0-axes","no","Axes","Craft every axe from stone to adamant.","Äxte","Stelle jede Axt von Stein bis Adamant her.","Haches","Fabriquez chaque hache de la pierre à l'adamant.","Asce","Crea ogni ascia dalla pietra all'adamante.","Hachas","Fabrica cada hacha de piedra a adamantita.","斧头","制作从石斧到精金斧的每把斧头。","Топоры","Создайте каждый топор от каменного до адамантового.","Machados","Crie cada machado da pedra ao adamante.","斧","石からアダマントまで、すべての斧を作る。","Topory","Wytwórz każdy topór od kamiennego po adamantowy."
"28","ACH_ITEM_0_PICKAXES","item-0-pickaxes","no","Pickaxes","Craft every pickaxe from stone to adamant.","Spitzhacken","Stelle jede Spitzhacke von Stein bis Adamant her.","Pioches","Fabriquez chaque pioche de la pierre à l'adamant.","Picconi","Crea ogni piccone dalla pietra all'adamante.","Picos","Fabrica cada pico de piedra a adamantita.","镐子","制作从石镐到精金镐的每把镐。","Кирки","Создайте каждую кирку от каменной до адамантовой.","Picaretas","Crie cada picareta da pedra ao adamante.","つるはし","石からアダマントまで、すべてのつるはしを作る。","Kilofy","Wytwórz każdy kilof od kamiennego po adamantowy."
"29","ACH_ITEM_0_LANTERNS","item-0-lanterns","no","Lanterns","Craft every lantern from iron to adamant.","Laternen","Stelle jede Laterne von Eisen bis Adamant her.","Lanternes","Fabriquez chaque lanterne du fer à l'adamant.","Lanterne","Crea ogni lanterna dal ferro all'adamante.","Faroles","Fabrica cada linterna de hierro a adamantita.","灯笼","制作从铁灯到精金灯的每盏灯笼。","Фонари","Создайте каждый фонарь от железного до адамантового.","Lanternas","Crie cada lanterna do ferro ao adamante.","ランタン","鉄からアダマントまで、すべてのランタンを作る。","Latarnie","Wytwórz każdą latarnię od żelaznej po adamantową."
"30","ACH_ITEM_1_SWORDS","item-1-swords","no","Swords","Craft every sword from iron to adamant.","Schwerter","Stelle jedes Schwert von Eisen bis Adamant her.","Épées","Fabriquez chaque épée du fer à l'adamant.","Spade","Crea ogni spada dal ferro all'adamante.","Espadas","Fabrica cada espada de hierro a adamantita.","剑","制作从铁剑到精金剑的每把剑。","Мечи","Создайте каждый меч от железного до адамантового.","Espadas","Crie cada espada do ferro ao adamante.","剣","鉄からアダマントまで、すべての剣を作る。","Miecze","Wytwórz każdy miecz od żelaznego po adamantowy."
"31","ACH_ITEM_1_BOWS","item-1-bows","no","Bows","Craft every bow from crude to master.","Bögen","Stelle jeden Bogen vom einfachen bis zum Meisterbogen her.","Arcs","Fabriquez chaque arc du grossier au maître.","Archi","Crea ogni arco dal grezzo al maestro.","Arcos","Fabrica cada arco del rudimentario al maestro.","弓","制作从粗制弓到大师弓的每把弓。","Луки","Создайте каждый лук от грубого до мастерского.","Arcos","Crie cada arco do rudimentar ao mestre.","弓","粗末から達人まで、すべての弓を作る。","Łuki","Wytwórz każdy łuk od prymitywnego po mistrzowski."
"32","ACH_ITEM_2_EXPLORER_PACK","item-2-explorer_pack","no","Leatherworks","Craft all seven leatherworks.","Lederarbeiten","Stelle alle sieben Lederarbeiten her.","Travail du cuir","Fabriquez les sept ouvrages de cuir.","Lavori in Cuoio","Crea tutte e sette le opere in cuoio.","Talabartería","Fabrica las siete obras de cuero.","皮革工艺","制作全部七件皮革制品。","Кожевенное дело","Создайте все семь кожаных изделий.","Trabalhos em Couro","Crie todas as sete obras de couro.","皮革細工","皮革細工を7種すべて作る。","Wyroby skórzane","Wytwórz wszystkie siedem wyrobów skórzanych."
"33","ACH_ITEM_2_SCHEMATIC_WEAPONS","item-2-schematic_weapons","no","Schematics","Craft three schematic weapons.","Baupläne","Stelle drei Bauplan-Waffen her.","Schémas","Fabriquez trois armes de schéma.","Schemi","Crea tre armi da schema.","Esquemas","Fabrica tres armas de esquema.","图纸","制作三件图纸武器。","Чертежи","Создайте три оружия по схемам.","Esquemas","Crie três armas de esquema.","設計図","設計図の武器を3種作る。","Schematy","Wytwórz trzy bronie ze schematów."
"34","ACH_ITEM_3_ANCIENT_BOOKS","item-3-ancient_books","no","Ancient Wisdom","Collect all three ancient books.","Altes Wissen","Sammle alle drei uralten Bücher.","Sagesse ancienne","Collectionnez les trois livres anciens.","Saggezza Antica","Raccogli tutti e tre i libri antichi.","Sabiduría antigua","Colecciona los tres libros antiguos.","古老智慧","收集三本古书。","Древняя мудрость","Соберите все три древние книги.","Sabedoria Antiga","Colete os três livros antigos.","古の知恵","古書を3冊すべて集める。","Starożytna mądrość","Zbierz wszystkie trzy starożytne księgi."
"35","ACH_ITEM_3_FELLOWSHIP","item-3-fellowship","no","Good Company","Recruit all six fellowship companions.","Gute Gesellschaft","Rekrutiere alle sechs Gefährten.","Bonne compagnie","Recrutez les six compagnons.","Buona Compagnia","Recluta tutti e sei i compagni.","Buena compañía","Recluta a los seis compañeros.","可靠同伴","招募全部六位同伴。","Добрая компания","Наберите всех шести спутников.","Boa Companhia","Recrute todos os seis companheiros da irmandade.","良き仲間","仲間を6人すべて迎える。","Dobre towarzystwo","Zwerbuj wszystkich sześciu towarzyszy drużyny."
"36","ACH_ITEM_4_BLACKSTEEL_TOOLS","item-4-blacksteel_tools","no","Dark Tools","Craft all three blacksteel tools.","Dunkle Werkzeuge","Stelle alle drei Schwarzstahl-Werkzeuge her.","Outils sombres","Fabriquez les trois outils en acier noir.","Strumenti Oscuri","Crea tutti e tre gli strumenti in Acciaio Nero.","Herramientas oscuras","Fabrica las tres herramientas de acero negro.","黑暗工具","制作全部三件黑钢工具。","Темные инструменты","Создайте все три инструмента из черной стали.","Ferramentas Sombrias","Crie todas as três ferramentas de Aço Negro.","闇の道具","黒鋼の道具を3種すべて作る。","Mroczne narzędzia","Wytwórz wszystkie trzy narzędzia z czarnostali."
"37","ACH_ITEM_4_BLACKSTEEL_EQUIPMENT","item-4-blacksteel_equipment","no","Dark War Equipment","Craft all three blacksteel war items.","Dunkle Kriegsausrüstung","Stelle alle drei Schwarzstahl-Kriegsausrüstungen her.","Équipement de guerre sombre","Fabriquez les trois équipements de guerre en acier noir.","Equipaggiamento da Guerra Oscuro","Crea tutti e tre gli oggetti di guerra in Acciaio Nero.","Equipo bélico oscuro","Fabrica los tres equipos de guerra de acero negro.","黑暗战具","制作全部三件黑钢战争装备。","Темное боевое снаряжение","Создайте все три предмета войны из черной стали.","Equipamento de Guerra Sombrio","Crie todos os três itens de guerra de Aço Negro.","闇の戦具","黒鋼の戦具を3種すべて作る。","Mroczny ekwipunek wojenny","Wytwórz wszystkie trzy wojenne przedmioty z czarnostali."
"38","ACH_ACTION_0_EXPLORECAVE","action-0-exploreCave","no","Cave Explorer","Upgrade Explore Cave to level 10.","Höhlenforscher","Verbessere Höhle erkunden auf Stufe 10.","Explorateur de grottes","Améliorez Explorer la grotte au niveau 10.","Esploratore di Caverne","Migliora Esplora Caverna al livello 10.","Explorador de cuevas","Mejora Explorar la cueva al nivel 10.","洞穴探索者","将探索洞穴升级到10级。","Исследователь пещер","Улучшите «Исследовать пещеру» до 10 уровня.","Explorador de Cavernas","Melhore Explorar Caverna para o nível 10.","洞窟探検家","「洞窟を探る」をレベル10まで強化する。","Badacz jaskiń","Ulepsz „Badaj jaskinię” do poziomu 10."
"39","ACH_ACTION_0_CHOPWOOD","action-0-chopWood","no","Wood Chopper","Upgrade Chop Wood to level 10.","Holzfäller","Verbessere Holz hacken auf Stufe 10.","Bûcheron","Améliorez Ramasser du bois au niveau 10.","Taglialegna","Migliora Raccogli Legno al livello 10.","Leñador","Mejora Reunir madera al nivel 10.","伐木能手","将采集木材升级到10级。","Дровосек","Улучшите «Собрать дерево» до 10 уровня.","Lenhador","Melhore Coletar Madeira para o nível 10.","樵","「木材を集める」をレベル10まで強化する。","Drwal","Ulepsz „Zbieraj drewno” do poziomu 10."
"40","ACH_ACTION_0_HUNT","action-0-hunt","no","Hunter","Upgrade Hunt to level 10.","Jäger","Verbessere Jagen auf Stufe 10.","Chasseur","Améliorez Chasser au niveau 10.","Cacciatore","Migliora Caccia al livello 10.","Cazador","Mejora Cazar al nivel 10.","猎人","将狩猎升级到10级。","Охотник","Улучшите «Охотиться» до 10 уровня.","Caçador","Melhore Caçar para o nível 10.","狩人","「狩猟」をレベル10まで強化する。","Myśliwy","Ulepsz „Poluj” do poziomu 10."
"41","ACH_ACTION_0_CRAFTTORCHES","action-0-craftTorches","no","Torch Crafter","Upgrade Craft Torches to level 10.","Fackelmacher","Verbessere Fackeln auf Stufe 10.","Fabricant de torches","Améliorez Torches au niveau 10.","Fabbricante di Torce","Migliora Torce al livello 10.","Artesano de antorchas","Mejora Antorchas al nivel 10.","火把工匠","将火把升级到10级。","Факельщик","Улучшите «Факелы» до 10 уровня.","Fabricante de Tochas","Melhore Tochas para o nível 10.","松明職人","「松明」をレベル10まで強化する。","Wytwórca pochodni","Ulepsz „Pochodnie” do poziomu 10."
"42","ACH_ACTION_1_MINESTONE","action-1-mineStone","no","Stone Miner","Upgrade Mine Stone to level 10.","Steinbrecher","Verbessere Stein auf Stufe 10.","Mineur de pierre","Améliorez Pierre au niveau 10.","Minatore di Pietra","Migliora Pietra al livello 10.","Cantero","Mejora Piedra al nivel 10.","采石工","将石头升级到10级。","Каменотес","Улучшите «Камень» до 10 уровня.","Minerador de Pedra","Melhore Pedra para o nível 10.","石工","「石を採掘」をレベル10まで強化する。","Górnik kamienia","Ulepsz „Kamień” do poziomu 10."
"43","ACH_ACTION_1_MINEIRON","action-1-mineIron","no","Iron Miner","Upgrade Mine Iron to level 10.","Eisenschürfer","Verbessere Eisen auf Stufe 10.","Mineur de fer","Améliorez Fer au niveau 10.","Minatore di Ferro","Migliora Ferro al livello 10.","Minero de hierro","Mejora Hierro al nivel 10.","铁矿工","将铁升级到10级。","Добытчик железа","Улучшите «Железо» до 10 уровня.","Minerador de Ferro","Melhore Ferro para o nível 10.","鉄鉱夫","「鉄を採掘」をレベル10まで強化する。","Górnik żelaza","Ulepsz „Żelazo” do poziomu 10."
"44","ACH_ACTION_1_MINECOAL","action-1-mineCoal","no","Coal Miner","Upgrade Mine Coal to level 10.","Kohleschürfer","Verbessere Kohle auf Stufe 10.","Mineur de charbon","Améliorez Charbon au niveau 10.","Minatore di Carbone","Migliora Carbone al livello 10.","Minero de carbón","Mejora Carbón al nivel 10.","煤矿工","将煤炭升级到10级。","Добытчик угля","Улучшите «Уголь» до 10 уровня.","Minerador de Carvão","Melhore Carvão para o nível 10.","石炭鉱夫","「石炭を採掘」をレベル10まで強化する。","Górnik węgla","Ulepsz „Węgiel” do poziomu 10."
"45","ACH_ACTION_1_MINESULFUR","action-1-mineSulfur","no","Sulfur Miner","Upgrade Mine Sulfur to level 10.","Schwefelschürfer","Verbessere Schwefel auf Stufe 10.","Mineur de soufre","Améliorez Soufre au niveau 10.","Minatore di Zolfo","Migliora Zolfo al livello 10.","Minero de azufre","Mejora Azufre al nivel 10.","硫磺矿工","将硫磺升级到10级。","Добытчик серы","Улучшите «Сера» до 10 уровня.","Minerador de Enxofre","Melhore Enxofre para o nível 10.","硫黄鉱夫","「硫黄を採掘」をレベル10まで強化する。","Górnik siarki","Ulepsz „Siarka” do poziomu 10."
"46","ACH_ACTION_1_MINEOBSIDIAN","action-1-mineObsidian","no","Obsidian Miner","Upgrade Mine Obsidian to level 10.","Obsidianschürfer","Verbessere Obsidian auf Stufe 10.","Mineur d'obsidienne","Améliorez Obsidienne au niveau 10.","Minatore di Ossidiana","Migliora Ossidiana al livello 10.","Minero de obsidiana","Mejora Obsidiana al nivel 10.","黑曜石矿工","将黑曜石升级到10级。","Добытчик обсидиана","Улучшите «Обсидиан» до 10 уровня.","Minerador de Obsidiana","Melhore Obsidiana para o nível 10.","黒曜石鉱夫","「黒曜石を採掘」をレベル10まで強化する。","Górnik obsydianu","Ulepsz „Obsydian” do poziomu 10."
"47","ACH_ACTION_1_MINEADAMANT","action-1-mineAdamant","no","Adamant Miner","Upgrade Mine Adamant to level 10.","Adamantschürfer","Verbessere Adamant auf Stufe 10.","Mineur d'adamant","Améliorez Adamant au niveau 10.","Minatore di Adamante","Migliora Adamante al livello 10.","Minero de adamantita","Mejora Adamantita al nivel 10.","精金矿工","将精金升级到10级。","Добытчик адаманта","Улучшите «Адамант» до 10 уровня.","Minerador de Adamante","Melhore Adamante para o nível 10.","アダマント鉱夫","「アダマントを採掘」をレベル10まで強化する。","Górnik adamantu","Ulepsz „Adamant” do poziomu 10."
